docking_score,smile
-6.3,C[C@H](C(=O)O)c1ccc2oc(c3ccc(Cl)cc3)nc2c1
-5.5,CC(C)(C)C(=O)[C@H](Oc1ccc(Cl)cc1)n1ccnc1
-6.0,CCN(CC)CC(=O)N1c2ccccc2Sc2ccccc12
-5.6,CN(C)CCO[C@@](C)(c1ccccc1)c1ccccn1
-5.1,CCN(CC)C(=O)c1ccc(O)c(OC)c1
-5.8,CN1[C@@H]2CC[C@H]1CC(OC(=O)[C@H](O)c1ccccc1)C2
-6.7,C[C@@H]1C[C@H](OC(=O)c2ccccc2O)CC(C)(C)C1
-5.3,CCn1ccnc1C[C@H]1COc2ccccc2O1
-6.7,Cc1cc(=O)c2c(O)c3ccoc3c(OC[C@H](O)CNC(C)C)c2o1
-5.1,C[C@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1
-5.6,Cc1cccc(C)c1NC(=O)[C@H]1CCCCN1C
-5.6,C[C@@H]1C[C@@H]2Oc3ccc(Cl)cc3C(=O)N2O1
-5.5,CC(=O)Oc1c(C)cc(OC[C@H](O)CNC(C)C)c(C)c1C
-5.8,CC(C)(Oc1ccc([C@@H]2CCCc3ccccc23)cc1)C(=O)O
-5.3,CC[C@@H](C)[C@H](C(=O)OC1CC[N+](C)(C)CC1)c1ccccc1
-5.4,c1ccc2c(c1)OC[C@H](CN1CCCCC1)O2
-5.5,CC(C)NC[C@@H](O)c1ccc(O)c2ncccc12
-5.9,CC(C)=C[C@@H]1[C@@H](C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C
-4.7,O=C(OC[C@@H]1CCCO1)c1cccnc1
-5.7,COc1ccc(C[C@H](C)NC[C@@H](O)c2ccc(O)c(NC=O)c2)cc1
-5.9,CC(C)/C=c1\[nH]c(=O)/c(=C\c2ccccc2)[nH]c1=O
-6.3,Nc1c(CC(=O)O)cccc1C(=O)c1ccccc1
-6.2,CNC(=O)Oc1ccccc1C(=O)Nc1ccccc1
-5.5,C=C(C(=O)OC1C[C@H]2CC[C@@H](C1)N2C)c1ccccc1
-5.5,Nc1ncnc2c1ncn2Cc1c(F)cccc1Cl
-5.7,Cc1cc(Cc2cnc(N)nc2N)c2cccnc2c1N(C)C
-5.0,CC(=O)Oc1ccc(Br)cc1C(=O)O
-6.2,CN(C)c1cccc(F)c1C(=O)NC(=O)Nc1ccc(Cl)cc1
