docking_score,smile
-8.7,Cc1ccccc1NC(=O)/C=C/c1ccc([N+](=O)[O-])cc1
-8.1,C[C@@H](CNS(=O)(=O)c1ccccc1)c1ccccc1
-8.2,COc1ccc(CNc2ccc(C)c(C)c2)cc1C
-5.7,COC(=O)C1(C(=O)OC)C(C)(C)C1(C(=O)OC)C(=O)OC
-7.7,COc1cc(/C=C/C(=O)N[C@H]2CCSC2=O)cc(OC)c1OC
-11.1,c1ccc2c(c1)c1ccccc1c1nc3ncccc3nc21
-8.6,Cc1ccnc(NC(=O)c2ccc(C(C)C)cc2)c1
-9.3,C[C@@H](NC(=O)c1ccccc1F)c1nc2ccccc2[nH]1
-7.7,CSc1nc2ccccc2n1CC(=O)NC1CCCCC1
-7.6,CCNc1nc(NC(C)C)nc(Oc2ccc(C=O)cc2)n1
-7.7,O=C(CCC1CCCCC1)Nc1ccccc1Cl
-8.6,Cc1cc(C)cc(C[C@H](C)CC(=O)Nc2ccccc2)c1
-8.1,C[C@@H](CN1CCCCC1)OC(=O)[C@H]1COc2ccccc2O1
-9.1,Cc1cc(C(=O)N2CCN(c3ccccn3)CC2)ccc1[N+](=O)[O-]
-5.9,O=[N+]([O-])c1ccc(Br)cn1
-9.0,CC1(C)COC(c2cnccc2C(=O)NCc2ccccc2)=N1
-6.9,O=C(Nc1cccnc1)C1CCCCC1
-7.3,CSc1cc(c2ccco2)oc1C(=O)c1ccco1
-8.0,C[C@@H]1C[C@H](C(=O)Nc2ccccc2)C(=O)O1
-7.4,CC(C)n1c(N2CCOCC2)nc2c1c(=O)n(C)c(=O)n2C
-8.4,NS(=O)(=O)c1ccc(NC(=S)NC(=O)C2CCCCC2)cc1
-7.8,COc1ccc(OC(=O)c2ccc(OC)cc2)cc1
-8.5,COC(=O)c1ccccc1OC(=O)[C@@H](C)c1ccc(CC(C)C)cc1
-9.1,CCN(CC)c1ccc(NC(=O)c2cccc(F)c2)c(C)c1
-7.6,COC(=O)c1ccc(C(=O)OC)c(NC(=O)[C@@H]2CCCO2)c1
-7.1,CC[C@@H](C)N([C@H](C)CC)S(=O)(=O)c1ccc(Br)cc1
-6.7,COc1ccccc1CNC(=O)CC(C)C
-7.9,Cn1cc(C(=O)Nc2ccccc2C(C)(C)C)cn1
-8.4,Cc1ccc(OCC(=O)NCc2ccc3c(c2)OCO3)cc1
-7.6,O=C(O)c1cc2n(n1)[C@H](C(F)(F)F)C[C@H](C1CC1)N2
-7.5,CCOC(=O)c1c(=O)n(CC)c2ccccc2c1OC(C)=O
-7.9,Cc1cc(Cl)ccc1N(CC(=O)N1CCCC1)S(C)(=O)=O
-7.6,CO[C@H](Cc1ccccc1O)[C@@H](O)c1ccccc1
-7.9,CCCc1nn(C)c(C(=O)Nc2ccc(F)cc2)c1Cl
-7.8,O=C1CC2(CCCCC2)c2sc([N+](=O)[O-])cc21
-7.6,CCOC(=O)c1ncn(Cc2ccccc2)c1C(=O)OCC
-7.0,CC(=CCSc1nc2ccc(N)cc2s1)C
-8.2,Cc1ccc2c(c1)sc1nc(C)cc(C)[n+]21
-8.1,CCOC(=O)[C@H]1[C@H]2C=C3CCc4cccc(c43)[C@@H]21
-9.6,O=C(O)Cc1cc(Cl)c2oc(c3ccc(Cl)cc3)cc(=O)c2c1
