docking_score,smile
-5.4,O=S(=O)(c1ccc(Cl)cc1)N1CCC[C@H]1c1cccs1
-6.3,O=C(c1ccccc1Cl)N1CCC(Cc2ccccc2)CC1
-6.2,O=c1cc(N2CCOCC2)oc2c3ccccc3ccc12
-6.2,Oc1ccc(NC2Cc3ccccc3C2)cc1
-6.1,O=Cc1c(O)cccc1OCc1ccc(C(=O)O)cc1
-4.9,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1
-5.9,COc1ccccc1NC(=O)c1ccc(C(C)(C)C)cc1
-5.9,COc1cccc(NC(=O)c2ccc(C(C)(C)C)cc2)c1
-5.4,CCN(CC)c1nc2ccccc2n2cnnc12
-4.8,C[N+](C)(C)CCCC(=O)c1ccc(C(=O)CCC[N+](C)(C)C)cc1
-5.0,Cc1sc(-c2ccc(Cl)cc2)nc1O
-5.5,CCN1c2ncccc2NC(=O)c2cc(Br)cnc21
-5.7,CN1CC[C@@H]2CN3CCc4cccc(c43)[C@@H]2C1
-5.1,Nc1ccc2oc(=O)ccc2c1I
-6.1,CN1C(=O)N(c2ccccc2)C2(CCNCC2)C1=O
-5.2,CCN(CC)CC(=O)Nc1c(C)cccc1C
-6.1,NS(=O)(=O)c1cc([C@]2(O)NC(=O)c3ccccc32)ccc1Cl
-7.4,CC(=CCc1c(O)cc(O)c2c(=O)cc(c3ccc(O)cc3)oc12)C
-6.3,CC(=O)Oc1ccccc1C(=O)Oc1cccc(CO[N+](=O)[O-])c1
-5.6,CNc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(NC)n1
-6.2,O=C1NC(=O)c2ccc(Cl)c3cccc1c32
-5.5,CC(C)(C)NC(=O)c1ccc2ccccc2c1
-5.8,Nc1nc2c(ncn2[C@@H]2CC[C@H](CO)O2)c(=O)[nH]1
-5.8,c1ccc(CSc2ncnc3ccccc32)nc1
-6.4,c1ccc2[nH]c(CSc3ncnc4ccccc34)nc2c1
-5.9,c1nn2cc(-c3ccncc3)cnc2c1-c1cccnc1
-5.2,CCOC(=O)Cn1nc(C(F)(F)F)c(Br)c1C
